Step	DeathCause	Age	Speed	Sight	ReproductiveUrge	LifeSpan	Charm	PregnancyDuration	Status	Starving	Drying
17	HUNGER	3,504999	6,60933	65	42	4,704475	56	36	SEARCHINGFOOD	16	32
18	HUNGER	3,004999	2,846572	40	40	4,870422	80	45	SEARCHINGFOOD	23	32
18	HUNGER	3,004999	2,941943	40	35	5,638946	72	46	SEARCHINGFOOD	23	30
18	HUNGER	3,004999	2,869256	40	38	5,636473	77	45	WAITING	21	33
18	HUNGER	3,004999	9,54388	63	35	4,789107	47	34	WAITING	18	31
18	HUNGER	3,004999	6,3443	50	35	4,397824	42	45	SEARCHINGFOOD	16	30
18	HUNGER	3,004999	6,284168	46	39	4,480739	39	43	SEARCHINGFOOD	18	27
18	HUNGER	2,504999	3,572473	39	39	5,04848	47	47	SEARCHINGFOOD	16	34
18	HUNGER	3,004999	2,771146	44	37	5,322849	68	45	SEARCHINGFOOD	24	30
18	THIRST	5,505	3,510455	31	45	5,657963	32	36	SEARCHINGDRINK	20	32
18	HUNGER	3,504999	5,923427	43	42	4,942911	65	45	SEARCHINGFOOD	18	30
18	THIRST	5,505	3,550536	55	36	5,879842	86	59	SEARCHINGDRINK	22	31
18	HUNGER	5,505	3,701453	67	43	5,555682	50	34	SEARCHINGDRINK	23	34
18	HUNGER	3,004999	8,158008	58	37	4,636198	53	39	SEARCHINGFOOD	17	33
18	HUNGER	3,004999	7,647245	45	34	4,745006	61	55	SEARCHINGFOOD	19	30
18	HUNGER	4,004999	3,563584	48	40	5,000743	55	43	SEARCHINGFOOD	18	30
18	HUNGER	3,004999	2,602436	42	34	5,222414	77	44	SEARCHINGFOOD	25	28
18	HUNGER	3,504999	8,999737	36	33	5,092609	38	41	SEARCHINGFOOD	22	35
18	HUNGER	3,004999	7,984493	54	35	4,754501	66	47	SEARCHINGFOOD	20	30
18	HUNGER	3,004999	6,380919	65	44	4,462532	42	36	SEARCHINGFOOD	14	34
18	HUNGER	3,004999	7,42909	46	33	5,10629	56	56	WAITING	22	27
19	HUNGER	3,504999	9,569283	39	31	5,084681	40	39	SEARCHINGFOOD	19	29
19	HUNGER	2,004999	10,02251	42	30	4,874819	51	48	SEARCHINGFOOD	18	34
19	HUNGER	2,004999	9,126216	44	28	4,983889	44	41	MOVING	15	35
19	HUNGER	2,004999	9,829502	46	31	5,449845	45	41	SEARCHINGFOOD	17	34
19	HUNGER	3,504999	5,757233	43	39	5,232306	64	52	SEARCHINGFOOD	18	30
19	HUNGER	2,004999	8,851987	44	29	4,888926	47	43	SEARCHINGFOOD	17	33
19	HUNGER	2,004999	8,947297	47	30	5,263955	47	48	SEARCHINGFOOD	16	35
19	HUNGER	2,004999	10,35812	41	28	4,903831	48	46	WAITING	18	31
19	HUNGER	3,504999	8,241421	55	32	5,419894	68	47	SEARCHINGFOOD	21	29
19	AGE	6,005	9,725533	42	42	5,809068	31	56	SEARCHINGMATE	19	26
19	DROWN	1,504999	6,412346	45	38	4,10928	87	49	SEARCHINGFOOD	15	26
19	AGE	6,005	6,218276	69	41	5,700598	57	30	SEARCHINGDRINK	19	28
19	AGE	6,005	4,51351	61	32	5,705773	97	40	EATING	24	31
19	HUNGER	3,504999	9,395154	40	33	4,990104	43	46	SEARCHINGFOOD	19	32
19	HUNGER	3,504999	8,076425	58	40	5,077555	46	38	SEARCHINGFOOD	18	34
19	HUNGER	3,004999	5,680598	45	35	4,157406	84	47	MOVING	15	26
19	HUNGER	3,004999	4,877909	48	38	5,193494	40	55	SEARCHINGFOOD	20	29
19	HUNGER	3,504999	5,682625	45	37	4,854183	58	51	SEARCHINGFOOD	16	31
